          abs_avg_total       abs_max_total      abs_min_total       abs_avg_anchor      abs_max_anchor      abs_min_anchor      abs_avg_agent       abs_max_agent       abs_min_agent      rel_avg_total        rel_max_total       rel_min_total      rel_avg_anchor      rel_max_anchor      rel_min_anchor      rel_avg_agent      rel_max_agent      rel_min_agent
            0.268839            1.398119            0.101606            0.174183            1.311695            0.000469            0.276772            1.396839            0.106549            0.160625            0.431633            0.067167            0.148300            0.393564            0.029966            0.161515            0.333138            0.062467
            0.220813            1.670064            0.083693            0.144007            1.916160            0.000166            0.227982            1.644214            0.078106            0.133954            0.534034            0.032552            0.126104            0.404084            0.023896            0.134411            0.290607            0.033395
            0.326031            2.703694            0.096128            0.279512            3.171956            0.000605            0.328247            2.665165            0.085555            0.151503            0.452343            0.059252            0.146187            0.401545            0.035529            0.151739            0.339422            0.058837
            0.239932            1.980119            0.091267            0.156383            2.162402            0.000101            0.247632            1.983052            0.086897            0.137355            0.745655            0.037401            0.133658            0.380258            0.031886            0.137105            0.291129            0.037401
            0.263169            1.358296            0.097267            0.160635            1.513716            0.000119            0.272768            1.340114            0.101215            0.156970            0.525694            0.053714            0.151880            0.491800            0.026584            0.157104            0.339237            0.056666
            0.253080            1.638385            0.095710            0.157752            1.701700            0.000433            0.261935            1.624891            0.101452            0.150921            0.482147            0.049178            0.138184            0.404791            0.031515            0.151974            0.331297            0.047857
            0.256628            1.722472            0.085453            0.190218            1.331898            0.000235            0.262698            1.713571            0.089609            0.147186            0.369245            0.047343            0.145358            0.378154            0.039639            0.147146            0.338435            0.046290
            0.247936            1.833616            0.082691            0.162599            2.214177            0.000213            0.253846            1.821673            0.083869            0.137017            0.397224            0.052314            0.132337            0.415854            0.028031            0.137258            0.274046            0.052104
            0.254746            1.845750            0.098485            0.159015            1.723891            0.000145            0.262694            1.859158            0.099698            0.147508            0.750730            0.042965            0.140295            0.399266            0.027508            0.147627            0.317254            0.044682
            0.271481            1.711579            0.108070            0.162822            1.940209            0.000015            0.280527            1.678274            0.103116            0.161444            0.434287            0.044591            0.149166            0.466672            0.030047            0.162489            0.342781            0.043555
            0.282267            2.267496            0.101979            0.198016            2.357000            0.000358            0.287752            2.247160            0.098410            0.146515            0.424085            0.043441            0.147555            0.440281            0.035043            0.146107            0.307974            0.043443
            0.269086            1.938610            0.100457            0.214770            1.920969            0.000496            0.273595            1.932215            0.097026            0.139844            0.486352            0.051401            0.136903            0.366173            0.035828            0.139793            0.325009            0.050676
            0.255414            1.721025            0.106087            0.155294            1.831703            0.000018            0.264322            1.705885            0.108178            0.155374            0.543392            0.043186            0.144097            0.438432            0.042087            0.156178            0.382727            0.042475
            0.268983            1.842578            0.099983            0.169888            1.994549            0.000185            0.277421            1.832580            0.101866            0.151894            0.404511            0.054752            0.144319            0.401484            0.037672            0.152458            0.336846            0.053469
            0.282224            1.649327            0.090432            0.229856            2.018884            0.000950            0.285103            1.627120            0.090058            0.148961            0.607900            0.042238            0.152040            0.468510            0.035985            0.148112            0.302576            0.039892
            0.226297            1.596367            0.089308            0.140997            1.933732            0.000105            0.233505            1.562906            0.088745            0.136547            0.496480            0.038427            0.124954            0.365484            0.031932            0.137449            0.297334            0.039063
            0.283719            2.022655            0.102174            0.210299            1.976641            0.000002            0.289902            2.009593            0.097674            0.151728            0.555654            0.052938            0.149491            0.469581            0.038942            0.151511            0.336049            0.048575
            0.275319            1.820720            0.100113            0.202655            1.845229            0.000202            0.282303            1.806477            0.104386            0.150011            0.535478            0.061852            0.139640            0.396649            0.042277            0.150737            0.310620            0.062532
            0.246059            1.773790            0.099649            0.167133            2.015285            0.000019            0.253319            1.756285            0.098652            0.144814            0.373271            0.049426            0.137841            0.340499            0.037631            0.145340            0.306251            0.047722
